category,Straddle Price,Index Spot,Synthetic Future
Fri Sep 06 2024,362.15,82135.57,82116.55
Fri Sep 06 2024,334.7,82061.52,82062.90
Fri Sep 06 2024,324.95,82014.06,82048.05
Fri Sep 06 2024,319.3,82033.44,82059.30
Fri Sep 06 2024,326.65,81999.78,82019.25
Fri Sep 06 2024,330.65,81994.1,82032.05
Fri Sep 06 2024,340.35,82003.52,82034.45
Fri Sep 06 2024,350.8,82021.83,82032.20
Fri Sep 06 2024,362.55,82044.24,82059.35
Fri Sep 06 2024,364.9,82014.06,82038.90
Fri Sep 06 2024,373.8,81985.78,82025.60
Fri Sep 06 2024,386.65,81995.45,82037.85
Fri Sep 06 2024,391.25,82000.83,82047.15
Fri Sep 06 2024,387.2,82002.72,82066.10
Fri Sep 06 2024,460.55,82189.02,82240.55
Fri Sep 06 2024,410.65,82140.98,82198.35
Fri Sep 06 2024,430.55,82211.94,82266.15
Fri Sep 06 2024,453.05,82244.96,82295.25
Fri Sep 06 2024,450.7,82218.12,82258.30
Fri Sep 06 2024,450.7,82212.95,82235.50
Fri Sep 06 2024,441.9,82193.76,82231.00
Fri Sep 06 2024,438.5,82178.78,82213.70
Fri Sep 06 2024,539.35,81926.94,81920.85
Fri Sep 06 2024,558.55,81927.65,81940.05
Fri Sep 06 2024,528.45,81922.74,81915.25
Fri Sep 06 2024,488.2,81940.64,81946.50
Fri Sep 06 2024,519.6,81892.39,81870.80
Fri Sep 06 2024,540,81861.95,81853.50
Fri Sep 06 2024,532.05,81858.84,81864.95
Fri Sep 06 2024,520.05,81874,81884.05
Fri Sep 06 2024,500.75,81890.86,81841.45
Fri Sep 06 2024,560.85,81770.26,81721.15
Fri Sep 06 2024,552.45,81721.89,81709.45
Fri Sep 06 2024,554.55,81757.41,81725.95
Fri Sep 06 2024,552.05,81771.26,81725.85
Fri Sep 06 2024,562.55,81738.69,81686.95
Fri Sep 06 2024,574.4,81673.66,81642.20
Fri Sep 06 2024,574.1,81700.57,81646.50
Fri Sep 06 2024,574.5,81611.28,81551.00
Fri Sep 06 2024,568.85,81613.59,81583.95
Fri Sep 06 2024,550.35,81650.35,81603.55
Fri Sep 06 2024,543.6,81693.11,81668.90
Fri Sep 06 2024,528.9,81632.52,81632.50
Fri Sep 06 2024,521.05,81636.21,81614.95
Fri Sep 06 2024,518.1,81632.26,81611.00
Fri Sep 06 2024,511.6,81657.43,81628.70
Fri Sep 06 2024,499.6,81618.74,81557.20
Fri Sep 06 2024,485.5,81587.02,81589.60
