category,Straddle Price,Index Spot,Synthetic Future
Tue Sep 10 2024,117.75,23759.3,23755.95
Tue Sep 10 2024,117.9,23779.55,23778.50
Tue Sep 10 2024,114.3,23783.05,23773.10
Tue Sep 10 2024,112.05,23780.75,23771.65
Tue Sep 10 2024,123,23765,23750.20
Tue Sep 10 2024,126.45,23754.6,23740.55
Tue Sep 10 2024,137.05,23718.35,23711.75
Tue Sep 10 2024,133.85,23728.7,23714.95
Tue Sep 10 2024,134.2,23726.75,23713.50
Tue Sep 10 2024,135.7,23703.65,23690.10
Tue Sep 10 2024,134.75,23702.25,23691.65
Tue Sep 10 2024,136.7,23696.8,23685.30
Tue Sep 10 2024,132.6,23704.25,23691.20
Tue Sep 10 2024,131.75,23695.5,23680.55
Tue Sep 10 2024,132.95,23675.55,23662.35
Tue Sep 10 2024,131.85,23682.5,23673.95
Tue Sep 10 2024,128.35,23698.65,23683.25
Tue Sep 10 2024,127.5,23701.15,23693.10
Tue Sep 10 2024,123.15,23689.6,23677.65
Tue Sep 10 2024,123.35,23697.35,23685.05
Tue Sep 10 2024,120.3,23710.25,23698.70
Tue Sep 10 2024,122.65,23704.9,23688.35
Tue Sep 10 2024,112.65,23707.6,23697.95
Tue Sep 10 2024,114.55,23693.85,23680.95
Tue Sep 10 2024,113.95,23677.55,23668.35
Tue Sep 10 2024,116.9,23685.35,23673.20
Tue Sep 10 2024,118.05,23676.5,23666.25
Tue Sep 10 2024,117.3,23685.85,23671.70
Tue Sep 10 2024,114.6,23696.65,23690.20
Tue Sep 10 2024,117.6,23692.9,23682.40
Tue Sep 10 2024,114.4,23695.25,23681.60
Tue Sep 10 2024,112.8,23696.1,23683.40
Tue Sep 10 2024,111,23696.05,23683.20
Tue Sep 10 2024,111.25,23708.7,23696.65
Tue Sep 10 2024,107.35,23707.75,23695.75
Tue Sep 10 2024,106.3,23696.85,23684.50
Tue Sep 10 2024,104.3,23688.95,23673.70
Tue Sep 10 2024,104.1,23686.15,23673.50
Tue Sep 10 2024,100.75,23694.3,23684.65
Tue Sep 10 2024,104.25,23690.35,23678.85
Tue Sep 10 2024,101.85,23687.5,23679.95
Tue Sep 10 2024,101.7,23690.25,23682.40
Tue Sep 10 2024,99.95,23715.4,23704.85
Tue Sep 10 2024,101.7,23708.85,23697.50
Tue Sep 10 2024,99.9,23700.55,23691.10
Tue Sep 10 2024,102.1,23700.35,23688.50
Tue Sep 10 2024,103,23696.35,23685.20
Tue Sep 10 2024,106.75,23691.3,23677.25
Tue Sep 10 2024,107.55,23688.3,23675.85
Tue Sep 10 2024,108.85,23687.5,23674.45
Tue Sep 10 2024,111.75,23674.15,23664.75
Tue Sep 10 2024,109.45,23675.4,23668.55
Tue Sep 10 2024,113.55,23667.5,23658.55
Tue Sep 10 2024,106.7,23677.75,23665.90
Tue Sep 10 2024,112.5,23653.65,23642.50
Tue Sep 10 2024,109.15,23663.65,23650.85
Tue Sep 10 2024,105.85,23671,23660.65
Tue Sep 10 2024,107.15,23662.55,23652.15
Tue Sep 10 2024,108.65,23639.4,23628.35
Tue Sep 10 2024,103.9,23654.65,23640.20
Tue Sep 10 2024,102.85,23653.95,23641.75
Tue Sep 10 2024,105.95,23648.15,23633.95
Tue Sep 10 2024,102.35,23655.3,23640.75
Tue Sep 10 2024,104.85,23635.25,23627.75
Tue Sep 10 2024,104.05,23634.95,23620.55
Tue Sep 10 2024,106.45,23632.35,23619.95
Tue Sep 10 2024,106.35,23621.75,23605.25
Tue Sep 10 2024,107.75,23628.35,23613.75
Tue Sep 10 2024,112.1,23612.75,23602.60
Tue Sep 10 2024,110.3,23611.05,23596.40
Tue Sep 10 2024,109.9,23607.3,23594.80
Tue Sep 10 2024,113,23609.2,23597.00
Tue Sep 10 2024,111.35,23618.6,23603.95
Tue Sep 10 2024,112.65,23610.9,23596.65
Tue Sep 10 2024,116.55,23597.85,23583.35
Tue Sep 10 2024,114.9,23610.95,23595.40
Tue Sep 10 2024,113.1,23604.85,23591.10
Tue Sep 10 2024,111.85,23612.65,23597.05
Tue Sep 10 2024,112.3,23608.7,23592.70
Tue Sep 10 2024,112.95,23602.7,23589.65
Tue Sep 10 2024,112.85,23595.25,23582.95
Tue Sep 10 2024,113.55,23587.5,23573.75
Tue Sep 10 2024,112.1,23596.2,23580.90
Tue Sep 10 2024,113,23594.65,23581.00
Tue Sep 10 2024,110.4,23591.95,23578.30
Tue Sep 10 2024,112,23571.7,23557.80
Tue Sep 10 2024,109.9,23582.25,23567.60
Tue Sep 10 2024,111.95,23582.45,23567.55
Tue Sep 10 2024,110.25,23576.95,23565.35
Tue Sep 10 2024,107.45,23569.25,23555.35
Tue Sep 10 2024,105.75,23572.15,23557.85
Tue Sep 10 2024,108.15,23567.25,23553.15
Tue Sep 10 2024,107.55,23572.2,23558.85
Tue Sep 10 2024,108.8,23566.95,23552.00
Tue Sep 10 2024,107.3,23578.25,23561.80
Tue Sep 10 2024,107,23586.75,23572.90
Tue Sep 10 2024,102.2,23574.7,23561.10
Tue Sep 10 2024,105.6,23582.7,23566.60
Tue Sep 10 2024,105.45,23582.55,23568.05
Tue Sep 10 2024,101.9,23584.45,23570.70
Tue Sep 10 2024,101.75,23590.1,23575.15
Tue Sep 10 2024,104.2,23587,23572.70
Tue Sep 10 2024,102.1,23591.05,23580.80
Tue Sep 10 2024,102.6,23582.75,23569.20
Tue Sep 10 2024,101.25,23586.3,23570.35
Tue Sep 10 2024,100.75,23581.95,23567.25
Tue Sep 10 2024,101.9,23585.15,23572.00
Tue Sep 10 2024,100.75,23578.45,23564.85
Tue Sep 10 2024,97.7,23579.5,23566.30
Tue Sep 10 2024,98.05,23587.25,23571.25
Tue Sep 10 2024,97.05,23585.2,23569.15
Tue Sep 10 2024,99.15,23583.3,23568.15
Tue Sep 10 2024,95.7,23574.85,23560.20
