category,Straddle Price,Index Spot,Synthetic Future
Mon Sep 30 2024,327.45,60996.73,61028.55
Mon Sep 30 2024,345.7,60965.07,60956.30
Mon Sep 30 2024,325.2,60920.12,60928.30
Mon Sep 30 2024,335.45,60860.12,60877.65
Mon Sep 30 2024,340,60839.9,60851.90
Mon Sep 30 2024,341.35,60845.97,60852.85
Mon Sep 30 2024,336.45,60830.66,60839.15
Mon Sep 30 2024,364.95,60791.56,60826.95
Mon Sep 30 2024,351.75,60819.39,60816.45
Mon Sep 30 2024,345.85,60848.48,60833.35
Mon Sep 30 2024,338.25,60849.62,60817.25
Mon Sep 30 2024,360.6,60785.84,60790.40
Mon Sep 30 2024,354.25,60791.44,60783.35
Mon Sep 30 2024,343.4,60792.46,60767.30
Mon Sep 30 2024,343.2,60758.55,60750.90
Mon Sep 30 2024,343.75,60723.31,60758.65
Mon Sep 30 2024,343.65,60717.95,60751.85
Mon Sep 30 2024,339.15,60745.23,60763.65
Mon Sep 30 2024,336,60755.93,60761.60
Mon Sep 30 2024,339.95,60755.37,60747.05
Mon Sep 30 2024,324.05,60769.14,60746.35
Mon Sep 30 2024,322.75,60779.85,60752.05
Mon Sep 30 2024,332.35,60767.42,60732.75
Mon Sep 30 2024,325.55,60764.29,60747.65
Mon Sep 30 2024,322.7,60756.26,60741.10
Mon Sep 30 2024,323.5,60738.72,60739.50
Mon Sep 30 2024,317.45,60740.59,60740.85
Mon Sep 30 2024,321.15,60730.75,60721.55
Mon Sep 30 2024,310.75,60723.13,60718.75
Mon Sep 30 2024,309.45,60736.42,60739.95
Mon Sep 30 2024,317.45,60730.59,60732.45
Mon Sep 30 2024,323,60710.24,60712.40
Mon Sep 30 2024,309.5,60686.25,60702.10
Mon Sep 30 2024,313.9,60675.3,60704.30
Mon Sep 30 2024,313.05,60679.86,60703.05
Mon Sep 30 2024,312,60693.67,60711.90
Mon Sep 30 2024,311.5,60706.41,60711.20
Mon Sep 30 2024,306.6,60677.82,60694.30
Mon Sep 30 2024,302.75,60662.5,60694.05
Mon Sep 30 2024,300.65,60692.65,60697.95
Mon Sep 30 2024,303.55,60674.26,60695.95
Mon Sep 30 2024,300.3,60672.75,60691.60
Mon Sep 30 2024,298.15,60687.89,60695.25
Mon Sep 30 2024,296.6,60671,60682.00
Mon Sep 30 2024,294.75,60675.67,60684.15
Mon Sep 30 2024,298.8,60652.21,60680.90
Mon Sep 30 2024,301.15,60632.93,60662.15
Mon Sep 30 2024,302.1,60635.25,60660.40
Mon Sep 30 2024,298.3,60648.66,60673.70
Mon Sep 30 2024,300.55,60643.14,60669.55
Mon Sep 30 2024,301.95,60635.91,60666.75
Mon Sep 30 2024,303.05,60615.31,60642.05
Mon Sep 30 2024,307.25,60588.32,60613.35
Mon Sep 30 2024,305.9,60581.86,60625.30
Mon Sep 30 2024,309.45,60582.73,60616.95
Mon Sep 30 2024,307.1,60581.69,60602.00
Mon Sep 30 2024,307,60593.24,60604.90
Mon Sep 30 2024,306.2,60568.27,60594.30
Mon Sep 30 2024,304.3,60569.17,60598.50
