category,Straddle Price,Index Spot,Synthetic Future
Wed Sep 18 2024,258.3,52214.35,52173.60
Wed Sep 18 2024,247.15,52175.7,52149.65
Wed Sep 18 2024,244.45,52184.45,52160.45
Wed Sep 18 2024,243.65,52172.85,52171.05
Wed Sep 18 2024,245.4,52177.1,52167.40
Wed Sep 18 2024,251.1,52184,52169.30
Wed Sep 18 2024,243.95,52183.95,52163.95
Wed Sep 18 2024,247.05,52173.55,52160.15
Wed Sep 18 2024,241.3,52185.2,52177.80
Wed Sep 18 2024,240.35,52180.85,52176.05
Wed Sep 18 2024,241,52173.8,52177.00
Wed Sep 18 2024,242.8,52188.5,52183.60
Wed Sep 18 2024,283.9,52241.95,52255.90
Wed Sep 18 2024,287.05,52232.3,52244.55
Wed Sep 18 2024,280.5,52227.45,52237.50
Wed Sep 18 2024,287.7,52227.45,52257.40
Wed Sep 18 2024,291,52251.3,52266.60
Wed Sep 18 2024,301.85,52260.8,52280.75
Wed Sep 18 2024,300.15,52274.05,52301.35
Wed Sep 18 2024,294.75,52279.7,52300.15
Wed Sep 18 2024,293.85,52290.7,52319.05
Wed Sep 18 2024,295.75,52301.35,52324.15
Wed Sep 18 2024,302.4,52313.9,52338.10
Wed Sep 18 2024,301.1,52325.7,52352.30
Wed Sep 18 2024,296.2,52331.95,52350.20
Wed Sep 18 2024,292.55,52329.6,52352.35
Wed Sep 18 2024,290.9,52344.1,52357.10
Wed Sep 18 2024,290.9,52341.6,52369.50
Wed Sep 18 2024,282.9,52343.7,52365.50
Wed Sep 18 2024,279.8,52339.7,52366.10
Wed Sep 18 2024,267.9,52348.8,52359.70
Wed Sep 18 2024,266.4,52348.95,52371.80
Wed Sep 18 2024,263.7,52366.1,52388.80
Wed Sep 18 2024,263.9,52368.5,52377.70
Wed Sep 18 2024,265.6,52356.95,52381.20
Wed Sep 18 2024,262.8,52339.55,52356.80
Wed Sep 18 2024,260,52341.25,52362.00
Wed Sep 18 2024,256.65,52323.35,52345.45
Wed Sep 18 2024,253.7,52326.15,52351.40
Wed Sep 18 2024,249.65,52334.15,52354.75
Wed Sep 18 2024,244.25,52337.4,52354.25
Wed Sep 18 2024,245.7,52337.15,52357.50
Wed Sep 18 2024,238.8,52338.45,52376.90
Wed Sep 18 2024,248.15,52354.75,52368.65
Wed Sep 18 2024,243.9,52345.9,52380.90
Wed Sep 18 2024,249.85,52392,52420.25
Wed Sep 18 2024,247.45,52409.85,52433.65
Wed Sep 18 2024,244.7,52412.95,52437.30
Wed Sep 18 2024,245.5,52407.75,52441.30
Wed Sep 18 2024,237.7,52391.35,52418.20
Wed Sep 18 2024,236.3,52404.25,52423.20
Wed Sep 18 2024,238.15,52397.7,52427.35
Wed Sep 18 2024,235.15,52414.35,52439.65
Wed Sep 18 2024,231.3,52417.6,52436.40
Wed Sep 18 2024,229.75,52438.25,52460.95
Wed Sep 18 2024,223.25,52437.3,52466.45
Wed Sep 18 2024,223.5,52431.05,52455.30
Wed Sep 18 2024,222.35,52441.3,52464.55
Wed Sep 18 2024,218.2,52437.7,52459.60
Wed Sep 18 2024,215.9,52430.85,52458.10
Wed Sep 18 2024,212.6,52432.25,52452.80
Wed Sep 18 2024,214.8,52426.7,52448.40
Wed Sep 18 2024,215.2,52435.75,52459.20
Wed Sep 18 2024,217.1,52433.75,52461.40
Wed Sep 18 2024,215.8,52422.8,52443.50
Wed Sep 18 2024,217.3,52413.25,52433.40
Wed Sep 18 2024,213.1,52417.05,52443.60
Wed Sep 18 2024,213.6,52426.25,52461.90
Wed Sep 18 2024,213.1,52457.35,52488.10
Wed Sep 18 2024,204.1,52462.15,52484.50
Wed Sep 18 2024,201,52445.3,52466.50
Wed Sep 18 2024,202.7,52461.45,52475.80
Wed Sep 18 2024,197.05,52464.8,52495.55
Wed Sep 18 2024,197.2,52471.55,52501.20
Wed Sep 18 2024,193.65,52466.4,52488.95
Wed Sep 18 2024,196,52459.35,52485.10
Wed Sep 18 2024,192.55,52455,52478.55
Wed Sep 18 2024,197.7,52455.55,52480.20
Wed Sep 18 2024,195.95,52457.75,52486.55
Wed Sep 18 2024,201.1,52448.9,52465.70
Wed Sep 18 2024,199.15,52441.55,52458.45
Wed Sep 18 2024,197.65,52440.6,52470.35
Wed Sep 18 2024,198.8,52443.9,52467.70
Wed Sep 18 2024,199.45,52431.3,52453.75
Wed Sep 18 2024,199.95,52435.35,52458.75
Wed Sep 18 2024,199.9,52429.3,52457.70
Wed Sep 18 2024,196.35,52421.35,52448.85
Wed Sep 18 2024,196,52426.75,52451.20
Wed Sep 18 2024,189.55,52448.15,52469.55
Wed Sep 18 2024,194.7,52442.7,52462.90
Wed Sep 18 2024,187.65,52463.85,52478.35
Wed Sep 18 2024,187.9,52452.25,52468.60
Wed Sep 18 2024,185.8,52446.5,52471.80
Wed Sep 18 2024,185.4,52457.7,52482.80
Wed Sep 18 2024,188.05,52453.4,52472.35
Wed Sep 18 2024,189.35,52446.55,52461.95
Wed Sep 18 2024,186.15,52439.65,52457.65
Wed Sep 18 2024,186.4,52443.35,52468.60
Wed Sep 18 2024,185.55,52440.55,52458.65
Wed Sep 18 2024,189.5,52423.2,52449.10
Wed Sep 18 2024,189.8,52421.75,52444.70
Wed Sep 18 2024,195.4,52413.95,52437.20
Wed Sep 18 2024,194,52413.4,52443.50
Wed Sep 18 2024,192.8,52418.95,52448.00
Wed Sep 18 2024,194.6,52417.7,52443.00
Wed Sep 18 2024,189.5,52424.5,52454.50
Wed Sep 18 2024,188.7,52438.2,52452.30
Wed Sep 18 2024,191.55,52433.9,52454.05
Wed Sep 18 2024,188,52430.1,52459.50
Wed Sep 18 2024,186.95,52440.65,52458.95
Wed Sep 18 2024,185.6,52436.7,52462.90
Wed Sep 18 2024,188.3,52435.15,52465.30
Wed Sep 18 2024,187.2,52447.8,52475.60
Wed Sep 18 2024,189,52446.85,52468.90
Wed Sep 18 2024,188.2,52441.55,52459.70
Wed Sep 18 2024,186.35,52437.55,52450.65
Wed Sep 18 2024,186.55,52427.85,52444.05
Wed Sep 18 2024,185.9,52434.9,52458.40
Wed Sep 18 2024,182.45,52436.65,52463.65
Wed Sep 18 2024,183,52436.35,52460.30
Wed Sep 18 2024,182.4,52443.7,52466.90
Wed Sep 18 2024,183.75,52446.5,52474.25
Wed Sep 18 2024,182.15,52445.45,52472.35
Wed Sep 18 2024,183.5,52448.3,52473.00
Wed Sep 18 2024,179.2,52446.55,52476.10
Wed Sep 18 2024,179.75,52449.65,52477.95
Wed Sep 18 2024,179.8,52438.15,52468.30
Wed Sep 18 2024,178.75,52452.35,52475.45
Wed Sep 18 2024,174.85,52461.8,52489.05
Wed Sep 18 2024,174.9,52456.25,52481.50
Wed Sep 18 2024,176.35,52455.35,52482.35
Wed Sep 18 2024,177.1,52455.9,52482.60
Wed Sep 18 2024,175.15,52449.25,52476.85
Wed Sep 18 2024,177.3,52451.7,52479.20
Wed Sep 18 2024,175.85,52449.15,52475.75
Wed Sep 18 2024,174.8,52438.3,52464.00
Wed Sep 18 2024,174.75,52443.55,52469.55
Wed Sep 18 2024,174.55,52457.65,52475.45
Wed Sep 18 2024,172.15,52438.6,52467.25
Wed Sep 18 2024,173.45,52445.1,52467.05
Wed Sep 18 2024,173.8,52448.1,52475.80
Wed Sep 18 2024,175.95,52445.8,52467.85
Wed Sep 18 2024,173.65,52444.55,52469.15
Wed Sep 18 2024,174.75,52446,52473.85
Wed Sep 18 2024,174.95,52439.75,52460.65
Wed Sep 18 2024,177.5,52444.5,52459.00
Wed Sep 18 2024,176.4,52448.7,52461.20
Wed Sep 18 2024,174.75,52453.15,52469.95
Wed Sep 18 2024,173.05,52456.9,52475.45
Wed Sep 18 2024,173.25,52453.5,52472.25
Wed Sep 18 2024,171.4,52467.9,52483.70
Wed Sep 18 2024,170.3,52477.85,52501.50
Wed Sep 18 2024,173.65,52485.25,52498.15
Wed Sep 18 2024,175.3,52482.6,52488.60
Wed Sep 18 2024,173.4,52474.4,52477.10
Wed Sep 18 2024,173.55,52468.45,52472.35
Wed Sep 18 2024,173.8,52470.15,52474.00
Wed Sep 18 2024,175.8,52469.1,52470.70
Wed Sep 18 2024,176.3,52460.3,52467.00
Wed Sep 18 2024,175.05,52467.95,52468.35
Wed Sep 18 2024,173.85,52470,52469.95
Wed Sep 18 2024,174,52461.1,52474.90
Wed Sep 18 2024,173.3,52473.7,52486.60
Wed Sep 18 2024,174.8,52471.55,52481.50
Wed Sep 18 2024,175,52469.15,52486.60
Wed Sep 18 2024,175.1,52474.4,52489.80
Wed Sep 18 2024,174.4,52466.15,52480.40
Wed Sep 18 2024,174.85,52462.85,52488.05
Wed Sep 18 2024,175.25,52476.8,52495.35
Wed Sep 18 2024,176.3,52476.9,52492.90
Wed Sep 18 2024,172.75,52479.95,52493.75
Wed Sep 18 2024,219.55,52553.85,52581.95
Wed Sep 18 2024,259.4,52629.7,52658.20
Wed Sep 18 2024,252.8,52622.45,52648.40
Wed Sep 18 2024,251.2,52630.85,52651.20
Wed Sep 18 2024,250.05,52627.85,52655.55
Wed Sep 18 2024,238.3,52621.2,52643.20
Wed Sep 18 2024,241.4,52634.45,52660.60
Wed Sep 18 2024,238.05,52628,52656.05
Wed Sep 18 2024,250.9,52640.7,52671.10
Wed Sep 18 2024,258.7,52675.85,52702.70
Wed Sep 18 2024,264.6,52693.85,52714.60
Wed Sep 18 2024,262.6,52696.9,52717.40
