category,Straddle Price,Index Spot,Synthetic Future
Thu Sep 05 2024,106.85,25253.9,25221.25
Thu Sep 05 2024,95.6,25245.6,25236.50
Thu Sep 05 2024,100.9,25243.3,25234.70
Thu Sep 05 2024,103.5,25238.4,25232.40
Thu Sep 05 2024,110.45,25235.25,25223.35
Thu Sep 05 2024,108.45,25245.05,25232.95
Thu Sep 05 2024,115.85,25256.6,25252.85
Thu Sep 05 2024,109.95,25248.45,25242.95
Thu Sep 05 2024,112.7,25241.45,25238.30
Thu Sep 05 2024,111,25246.75,25238.10
Thu Sep 05 2024,113.15,25243.2,25234.35
Thu Sep 05 2024,112.7,25239.15,25232.90
Thu Sep 05 2024,123.4,25222.1,25209.00
Thu Sep 05 2024,127.35,25216.65,25202.05
Thu Sep 05 2024,124.8,25211.4,25197.10
Thu Sep 05 2024,121.4,25220.4,25204.80
Thu Sep 05 2024,118,25223.4,25210.70
Thu Sep 05 2024,123.65,25203.8,25192.85
Thu Sep 05 2024,118.6,25218.15,25206.20
Thu Sep 05 2024,114.15,25231.5,25216.75
Thu Sep 05 2024,114.3,25213.6,25200.00
Thu Sep 05 2024,112.7,25214.7,25200.60
Thu Sep 05 2024,111.7,25207.1,25193.70
Thu Sep 05 2024,108.9,25214.5,25200.80
Thu Sep 05 2024,105.5,25219.55,25209.30
Thu Sep 05 2024,102,25216.2,25201.70
Thu Sep 05 2024,103.3,25206.35,25192.70
Thu Sep 05 2024,97.5,25213.3,25201.50
Thu Sep 05 2024,99.05,25206.3,25191.15
Thu Sep 05 2024,98.8,25208.25,25196.20
Thu Sep 05 2024,99.1,25207.95,25196.50
Thu Sep 05 2024,95.8,25207.6,25198.20
Thu Sep 05 2024,93.65,25214.75,25207.65
Thu Sep 05 2024,93.6,25213.75,25200.40
Thu Sep 05 2024,93.1,25213.35,25200.80
Thu Sep 05 2024,92.85,25207.2,25194.95
Thu Sep 05 2024,92.45,25212,25198.25
Thu Sep 05 2024,91.85,25216.1,25206.15
Thu Sep 05 2024,91.5,25221.5,25207.50
Thu Sep 05 2024,92.7,25216.8,25205.90
Thu Sep 05 2024,91.95,25210.35,25202.15
Thu Sep 05 2024,93,25216.7,25211.20
Thu Sep 05 2024,93.45,25220.9,25210.25
Thu Sep 05 2024,95.75,25220.8,25212.45
Thu Sep 05 2024,95.9,25209.4,25198.60
Thu Sep 05 2024,95.95,25211.65,25197.15
Thu Sep 05 2024,97.6,25204.55,25194.00
Thu Sep 05 2024,100.35,25208.8,25195.15
Thu Sep 05 2024,100.1,25210.15,25196.00
Thu Sep 05 2024,100.85,25206.25,25193.55
Thu Sep 05 2024,100.65,25209.8,25194.65
Thu Sep 05 2024,100.5,25213.15,25199.30
Thu Sep 05 2024,99.4,25206.75,25192.20
Thu Sep 05 2024,98.4,25206.3,25193.10
Thu Sep 05 2024,97.3,25207.65,25194.10
Thu Sep 05 2024,95.05,25204.55,25191.55
Thu Sep 05 2024,91.3,25204.45,25190.40
Thu Sep 05 2024,93.5,25199.6,25186.10
Thu Sep 05 2024,94,25198.45,25185.50
Thu Sep 05 2024,94.25,25200.95,25187.65
Thu Sep 05 2024,90.35,25207.55,25193.75
Thu Sep 05 2024,88.3,25208.2,25195.80
Thu Sep 05 2024,89.15,25203.95,25192.05
Thu Sep 05 2024,89.9,25203.1,25190.40
Thu Sep 05 2024,89.35,25206.7,25193.85
Thu Sep 05 2024,88.15,25208.95,25197.55
Thu Sep 05 2024,89.25,25208.9,25194.25
Thu Sep 05 2024,90.15,25206.3,25192.15
Thu Sep 05 2024,89.55,25207.2,25192.45
Thu Sep 05 2024,89.3,25207.1,25192.20
Thu Sep 05 2024,92.45,25196.3,25186.75
Thu Sep 05 2024,93.8,25197.85,25184.20
Thu Sep 05 2024,92.95,25201.75,25188.75
Thu Sep 05 2024,95.7,25198.3,25183.50
Thu Sep 05 2024,96.2,25194.6,25181.70
Thu Sep 05 2024,102.05,25172.7,25158.15
Thu Sep 05 2024,96.1,25177.65,25166.00
Thu Sep 05 2024,93.9,25176.3,25161.90
Thu Sep 05 2024,94.35,25175.95,25160.95
Thu Sep 05 2024,95.35,25160.1,25146.75
Thu Sep 05 2024,95.95,25162.35,25150.25
Thu Sep 05 2024,92.1,25169.9,25156.20
Thu Sep 05 2024,89.4,25169,25155.20
Thu Sep 05 2024,86.9,25161.35,25148.00
Thu Sep 05 2024,86.45,25159.65,25146.15
Thu Sep 05 2024,82.5,25158.65,25145.20
Thu Sep 05 2024,83.7,25165.85,25153.00
Thu Sep 05 2024,85.7,25162.65,25149.50
Thu Sep 05 2024,86.1,25164.8,25150.10
Thu Sep 05 2024,85.65,25166.7,25152.15
Thu Sep 05 2024,84.25,25172.5,25157.35
Thu Sep 05 2024,83.45,25172.35,25160.15
Thu Sep 05 2024,83.9,25171.8,25157.30
Thu Sep 05 2024,82.15,25172.35,25159.15
Thu Sep 05 2024,82.7,25171.4,25155.60
Thu Sep 05 2024,81.2,25174.25,25162.30
Thu Sep 05 2024,80.55,25177.6,25165.65
Thu Sep 05 2024,78.9,25179.1,25164.90
Thu Sep 05 2024,78.5,25175.1,25160.50
Thu Sep 05 2024,79.35,25178.5,25165.45
Thu Sep 05 2024,78.8,25175.5,25161.80
Thu Sep 05 2024,78.55,25173.2,25158.05
Thu Sep 05 2024,79.2,25173.75,25158.50
Thu Sep 05 2024,79.6,25172.2,25163.00
Thu Sep 05 2024,78.95,25178.4,25163.55
Thu Sep 05 2024,77.5,25177.95,25160.70
Thu Sep 05 2024,76.35,25170.5,25155.55
Thu Sep 05 2024,76.75,25172.35,25157.45
Thu Sep 05 2024,76.65,25175.7,25161.85
Thu Sep 05 2024,76.65,25175.25,25160.65
Thu Sep 05 2024,77.3,25179.2,25166.00
Thu Sep 05 2024,75.5,25178.75,25167.70
Thu Sep 05 2024,75.2,25185.75,25170.30
Thu Sep 05 2024,74.6,25183.65,25169.70
Thu Sep 05 2024,75.3,25191.4,25177.30
Thu Sep 05 2024,75.05,25192.2,25179.45
Thu Sep 05 2024,74.65,25192.25,25179.15
Thu Sep 05 2024,74.2,25190.4,25177.90
Thu Sep 05 2024,76.05,25192.9,25181.15
Thu Sep 05 2024,74.3,25190.95,25175.90
Thu Sep 05 2024,74.8,25195.35,25181.20
Thu Sep 05 2024,74.1,25190.15,25176.40
Thu Sep 05 2024,73.85,25189.1,25177.35
Thu Sep 05 2024,72.4,25192.5,25179.00
Thu Sep 05 2024,72.15,25190.8,25180.65
Thu Sep 05 2024,71,25198.15,25183.30
Thu Sep 05 2024,70,25194.15,25179.90
Thu Sep 05 2024,69.1,25186.95,25178.50
Thu Sep 05 2024,68.45,25184.25,25175.65
Thu Sep 05 2024,66.55,25178.65,25173.25
Thu Sep 05 2024,66.4,25180.55,25174.60
Thu Sep 05 2024,64.1,25176.05,25168.40
Thu Sep 05 2024,63.55,25174.7,25168.25
Thu Sep 05 2024,63.2,25174.75,25168.90
Thu Sep 05 2024,60.25,25171.6,25161.45
Thu Sep 05 2024,60.5,25173.45,25163.80
Thu Sep 05 2024,60.7,25175.15,25167.10
Thu Sep 05 2024,58.7,25180.35,25173.90
Thu Sep 05 2024,58.55,25181.6,25176.15
Thu Sep 05 2024,59.5,25184.25,25180.50
Thu Sep 05 2024,57.7,25181.25,25176.00
Thu Sep 05 2024,57.75,25179.35,25174.55
Thu Sep 05 2024,59.05,25179.75,25177.95
Thu Sep 05 2024,59.15,25179.8,25177.95
Thu Sep 05 2024,59.45,25182.5,25180.05
Thu Sep 05 2024,59.4,25180.5,25178.50
Thu Sep 05 2024,60.7,25183.75,25179.90
Thu Sep 05 2024,59.95,25182.05,25178.05
Thu Sep 05 2024,58.55,25177.65,25174.35
Thu Sep 05 2024,57.65,25179.4,25173.25
Thu Sep 05 2024,56.6,25175.6,25171.00
Thu Sep 05 2024,56.9,25175.5,25173.30
Thu Sep 05 2024,55.85,25174,25168.75
Thu Sep 05 2024,54.4,25172.65,25166.90
Thu Sep 05 2024,52.45,25172.25,25166.05
Thu Sep 05 2024,50.7,25176.75,25169.00
Thu Sep 05 2024,49.7,25178.15,25172.80
Thu Sep 05 2024,49.7,25176.45,25171.40
Thu Sep 05 2024,48.45,25179.4,25172.95
Thu Sep 05 2024,48.75,25178.4,25173.05
Thu Sep 05 2024,49.4,25177.85,25174.80
Thu Sep 05 2024,46.6,25171.85,25168.50
Thu Sep 05 2024,47.4,25172.3,25167.90
Thu Sep 05 2024,47.05,25174.25,25169.65
Thu Sep 05 2024,47.7,25175.8,25169.80
Thu Sep 05 2024,47.2,25176.25,25168.60
Thu Sep 05 2024,48.15,25179.4,25172.05
Thu Sep 05 2024,49.7,25182.75,25174.60
Thu Sep 05 2024,50.8,25184.9,25176.20
Thu Sep 05 2024,51.15,25190.95,25178.35
Thu Sep 05 2024,52.55,25192.2,25179.15
Thu Sep 05 2024,52.95,25189.75,25177.35
Thu Sep 05 2024,54.3,25191.95,25179.00
Thu Sep 05 2024,54.75,25193.55,25179.15
Thu Sep 05 2024,54.05,25189.9,25176.85
Thu Sep 05 2024,52.55,25188.15,25174.45
Thu Sep 05 2024,52.45,25186.3,25174.05
Thu Sep 05 2024,53.55,25188.5,25175.55
Thu Sep 05 2024,54.25,25189.65,25177.25
Thu Sep 05 2024,54.55,25189.8,25177.05
Thu Sep 05 2024,52.9,25188.4,25174.90
Thu Sep 05 2024,55.15,25191.4,25179.45
Thu Sep 05 2024,54.6,25191,25177.60
Thu Sep 05 2024,54.3,25191.1,25177.00
Thu Sep 05 2024,52.65,25188.8,25174.25
Thu Sep 05 2024,50.65,25186.85,25173.05
Thu Sep 05 2024,50.1,25184.3,25170.00
Thu Sep 05 2024,51.2,25184.4,25172.80
Thu Sep 05 2024,50.35,25185.2,25172.05
Thu Sep 05 2024,50.4,25182.3,25171.80
Thu Sep 05 2024,49.45,25180.9,25169.45
Thu Sep 05 2024,50.35,25185.3,25173.65
Thu Sep 05 2024,50.75,25185.7,25174.85
Thu Sep 05 2024,50.25,25186.15,25175.05
Thu Sep 05 2024,50.4,25188.5,25175.80
Thu Sep 05 2024,49.1,25182.5,25173.70
Thu Sep 05 2024,47.75,25181.2,25171.35
Thu Sep 05 2024,46.9,25172.85,25168.90
Thu Sep 05 2024,47.15,25177,25172.55
Thu Sep 05 2024,47.45,25175.05,25172.95
Thu Sep 05 2024,46.55,25172.8,25170.65
Thu Sep 05 2024,47.55,25172.6,25171.75
Thu Sep 05 2024,48.05,25175.3,25174.15
Thu Sep 05 2024,48,25178,25176.90
Thu Sep 05 2024,50.15,25181.35,25180.95
Thu Sep 05 2024,51.05,25183.1,25182.55
Thu Sep 05 2024,50.75,25182.25,25182.65
Thu Sep 05 2024,52.05,25186.5,25186.25
Thu Sep 05 2024,52,25185.35,25183.90
Thu Sep 05 2024,51.65,25184.55,25184.15
Thu Sep 05 2024,51.4,25186.65,25186.50
Thu Sep 05 2024,51.7,25187.7,25184.90
Thu Sep 05 2024,51.85,25184.5,25182.35
Thu Sep 05 2024,50.45,25182.75,25180.45
Thu Sep 05 2024,50.35,25183.95,25183.25
Thu Sep 05 2024,49.8,25182.05,25181.30
Thu Sep 05 2024,48.3,25180.6,25178.10
Thu Sep 05 2024,48.55,25180.35,25179.15
Thu Sep 05 2024,49.25,25181.95,25180.55
Thu Sep 05 2024,49.9,25181.4,25181.90
Thu Sep 05 2024,48.75,25181.9,25180.25
Thu Sep 05 2024,48.8,25180.7,25179.70
Thu Sep 05 2024,48.5,25186.75,25186.40
Thu Sep 05 2024,48.7,25190.9,25189.60
Thu Sep 05 2024,48.45,25186.4,25184.95
Thu Sep 05 2024,47.35,25186.4,25185.75
Thu Sep 05 2024,47.25,25185.3,25182.55
Thu Sep 05 2024,47.4,25184.3,25183.40
Thu Sep 05 2024,46.95,25186.3,25185.35
Thu Sep 05 2024,47,25186.65,25184.40
Thu Sep 05 2024,47.05,25183.3,25182.65
Thu Sep 05 2024,47.75,25182.1,25182.25
Thu Sep 05 2024,44.6,25179.75,25177.20
Thu Sep 05 2024,43.8,25177.1,25175.00
Thu Sep 05 2024,44.5,25176.1,25176.60
