category,Straddle Price,Index Spot,Synthetic Future
Fri Sep 13 2024,467,82950.56,82882.40
Fri Sep 13 2024,488.8,82886.6,82834.00
Fri Sep 13 2024,473.5,82853.7,82810.40
Fri Sep 13 2024,479.2,82854.92,82808.80
Fri Sep 13 2024,441.2,82871.6,82837.60
Fri Sep 13 2024,464.55,82869.42,82826.35
Fri Sep 13 2024,433.15,82842.34,82774.75
Fri Sep 13 2024,429.5,82819.27,82771.50
Fri Sep 13 2024,424.4,82801.28,82748.20
Fri Sep 13 2024,428.55,82811.32,82752.25
Fri Sep 13 2024,423.65,82815.28,82765.15
Fri Sep 13 2024,426.35,82828,82784.95
Fri Sep 13 2024,419.75,82838.39,82789.35
Fri Sep 13 2024,425.7,82845.13,82808.50
Fri Sep 13 2024,430.1,82811.65,82776.80
Fri Sep 13 2024,439.75,82768.15,82730.25
Fri Sep 13 2024,439.7,82773.37,82727.20
Fri Sep 13 2024,419.85,82784.23,82768.25
Fri Sep 13 2024,410.4,82802.39,82764.00
Fri Sep 13 2024,402.85,82765.69,82731.35
Fri Sep 13 2024,401.3,82757.99,82714.10
Fri Sep 13 2024,404.05,82767.6,82736.95
Fri Sep 13 2024,408.35,82770.78,82726.35
Fri Sep 13 2024,413.25,82776.17,82730.15
Fri Sep 13 2024,405.8,82764.35,82721.20
Fri Sep 13 2024,407.85,82775.53,82733.75
Fri Sep 13 2024,412.05,82767.17,82721.85
Fri Sep 13 2024,401.1,82747.02,82707.40
Fri Sep 13 2024,402.7,82752.23,82706.40
Fri Sep 13 2024,396.8,82744.67,82690.20
Fri Sep 13 2024,386.7,82734.98,82677.90
Fri Sep 13 2024,384,82727.01,82682.60
Fri Sep 13 2024,373.15,82746.21,82708.75
Fri Sep 13 2024,384.3,82744.82,82703.20
Fri Sep 13 2024,371.45,82710.9,82662.35
Fri Sep 13 2024,373.7,82707.98,82655.70
Fri Sep 13 2024,358.8,82669.61,82645.70
Fri Sep 13 2024,358.25,82705.98,82683.75
Fri Sep 13 2024,350.95,82746.25,82733.45
Fri Sep 13 2024,375.55,82804.68,82797.25
Fri Sep 13 2024,366.45,82817.26,82829.75
Fri Sep 13 2024,366.15,82891.38,82875.55
Fri Sep 13 2024,364.3,82924.36,82930.40
Fri Sep 13 2024,362.3,82922.24,82893.50
Fri Sep 13 2024,379.4,82922.86,82911.90
Fri Sep 13 2024,366.15,82907.27,82893.55
Fri Sep 13 2024,361.2,82897.44,82881.00
Fri Sep 13 2024,348.85,82848.12,82801.35
Fri Sep 13 2024,339.55,82826.73,82770.55
Fri Sep 13 2024,341.35,82756.73,82715.15
Fri Sep 13 2024,316.85,82807.02,82795.25
Fri Sep 13 2024,330.8,82804.26,82779.50
Fri Sep 13 2024,326.3,82818,82795.70
Fri Sep 13 2024,326.7,82803.49,82742.20
Fri Sep 13 2024,325.95,82798.62,82747.15
Fri Sep 13 2024,323.7,82804.6,82762.70
Fri Sep 13 2024,324.6,82793.66,82750.90
Fri Sep 13 2024,321.45,82785.71,82759.55
Fri Sep 13 2024,314.7,82798.52,82755.30
Fri Sep 13 2024,307.95,82803.61,82757.75
Fri Sep 13 2024,300.7,82818.83,82785.30
Fri Sep 13 2024,310.35,82828.74,82800.65
Fri Sep 13 2024,307,82849.36,82817.50
Fri Sep 13 2024,303.8,82850.02,82818.30
Fri Sep 13 2024,296.8,82822.25,82752.60
Fri Sep 13 2024,301,82828.2,82772.50
Fri Sep 13 2024,293.95,82825.04,82798.45
Fri Sep 13 2024,294.75,82837.36,82802.25
Fri Sep 13 2024,291,82839.41,82789.00
Fri Sep 13 2024,290.05,82837.19,82790.45
Fri Sep 13 2024,281.6,82837.72,82796.20
Fri Sep 13 2024,287.05,82841.98,82791.25
Fri Sep 13 2024,281.8,82830.49,82782.50
Fri Sep 13 2024,281.25,82797.24,82742.35
Fri Sep 13 2024,285.7,82792.1,82733.20
Fri Sep 13 2024,284.9,82797.53,82751.00
Fri Sep 13 2024,279.8,82802.77,82755.90
Fri Sep 13 2024,280.8,82800.72,82755.20
